objectid,filename,youtubeid,title,format,description,creator,date,subject,funlevel,location,latitude,longitude,source,identifier,rights,rightsstatement,type,language,newdate
ob1,me-n-playdate.jpg,,My new best friend,image/jpeg,"Dr. Post poses with the <a href=""https://shop.play.date/"" target=""_blank"">Playdate</a>, a handheld gaming console with a crank. ","Post, Colin",2024-04-29,computer games,Very fun,,,,,,,,Image;StillImage,,2011
ob2,annot-library.jpg,,Library friends,image/jpeg,"Dr. Post and his daugther, Annot, hang out at the library.","Post, Colin",2022-09-06,libraries,Extremely fun,,,,,,,,Image;StillImage,,
